Date,Flow,Site
2018-05-06,500,Tiber Release
2018-05-07,500,Tiber Release
2018-05-08,500,Tiber Release
2018-05-09,500,Tiber Release
2018-05-10,500,Tiber Release
2018-05-11,500,Tiber Release
2018-05-12,500,Tiber Release
2018-05-13,500,Tiber Release
2018-05-14,500,Tiber Release
2018-05-15,550,Tiber Release
2018-05-16,600,Tiber Release
2018-05-17,1500,Tiber Release
2018-05-18,1500,Tiber Release
2018-05-19,1500,Tiber Release
2018-05-20,3000,Tiber Release
2018-05-21,3000,Tiber Release
2018-05-22,1500,Tiber Release
2018-05-23,1500,Tiber Release
2018-05-24,750,Tiber Release
2018-05-25,500,Tiber Release
2018-05-26,500,Tiber Release
2018-05-27,500,Tiber Release
2018-05-28,500,Tiber Release
2018-05-29,500,Tiber Release
2018-05-30,500,Tiber Release
2018-05-31,500,Tiber Release
2018-06-01,500,Tiber Release
2018-06-02,500,Tiber Release
2018-06-03,500,Tiber Release
2018-06-04,500,Tiber Release
2018-06-05,500,Tiber Release
2018-06-06,500,Tiber Release
2018-06-07,1500,Tiber Release
2018-06-08,3000,Tiber Release
2018-06-09,4500,Tiber Release
2018-06-10,4500,Tiber Release
2018-06-11,5000,Tiber Release
2018-06-12,5000,Tiber Release
2018-06-13,5000,Tiber Release
2018-06-14,5000,Tiber Release
2018-06-15,5000,Tiber Release
2018-06-16,5000,Tiber Release
2018-06-17,5000,Tiber Release
2018-06-18,5000,Tiber Release
2018-06-19,5000,Tiber Release
2018-06-20,5000,Tiber Release
2018-06-21,5000,Tiber Release
2018-06-22,5000,Tiber Release
2018-06-23,5000,Tiber Release
2018-06-24,5000,Tiber Release
2018-06-25,5000,Tiber Release
2018-06-26,5000,Tiber Release
2018-06-27,5000,Tiber Release
2018-06-28,4000,Tiber Release
2018-06-29,2500,Tiber Release
2018-06-30,1000,Tiber Release
2018-07-01,500,Tiber Release
2018-07-02,500,Tiber Release
2018-07-03,500,Tiber Release
2018-07-04,500,Tiber Release
2018-07-05,500,Tiber Release
2018-07-06,500,Tiber Release
2018-07-07,500,Tiber Release
2018-07-08,500,Tiber Release
2018-07-09,500,Tiber Release
2018-07-10,500,Tiber Release
2018-07-11,500,Tiber Release
2018-07-12,500,Tiber Release
2018-07-13,500,Tiber Release
2018-07-14,500,Tiber Release
2018-07-15,500,Tiber Release
2018-04-01,4500,Combined Release
2018-04-02,4500,Combined Release
2018-04-03,4500,Combined Release
2018-04-04,4500,Combined Release
2018-04-05,4500,Combined Release
2018-04-06,4500,Combined Release
2018-04-07,4500,Combined Release
2018-04-08,4500,Combined Release
2018-04-09,4500,Combined Release
2018-04-10,4500,Combined Release
2018-04-11,4500,Combined Release
2018-04-12,4500,Combined Release
2018-04-13,4500,Combined Release
2018-04-14,4500,Combined Release
2018-04-15,4500,Combined Release
2018-04-16,4500,Combined Release
2018-04-17,4500,Combined Release
2018-04-18,4500,Combined Release
2018-04-19,4500,Combined Release
2018-04-20,4500,Combined Release
2018-04-21,4500,Combined Release
2018-04-22,4500,Combined Release
2018-04-23,4500,Combined Release
2018-04-24,4500,Combined Release
2018-04-25,4500,Combined Release
2018-04-26,4500,Combined Release
2018-04-27,4500,Combined Release
2018-04-28,4500,Combined Release
2018-04-29,4500,Combined Release
2018-04-30,4500,Combined Release
2018-05-01,4500,Combined Release
2018-05-02,4500,Combined Release
2018-05-03,4500,Combined Release
2018-05-04,4500,Combined Release
2018-05-05,4500,Combined Release
2018-05-06,4500,Combined Release
2018-05-07,4500,Combined Release
2018-05-08,4500,Combined Release
2018-05-09,4500,Combined Release
2018-05-10,4500,Combined Release
2018-05-11,4500,Combined Release
2018-05-12,4500,Combined Release
2018-05-13,4500,Combined Release
2018-05-14,4500,Combined Release
2018-05-15,5050,Combined Release
2018-05-16,5600,Combined Release
2018-05-17,7500,Combined Release
2018-05-18,8500,Combined Release
2018-05-19,9500,Combined Release
2018-05-20,11000,Combined Release
2018-05-21,11000,Combined Release
2018-05-22,8500,Combined Release
2018-05-23,8000,Combined Release
2018-05-24,5750,Combined Release
2018-05-25,4500,Combined Release
2018-05-26,4500,Combined Release
2018-05-27,4500,Combined Release
2018-05-28,4500,Combined Release
2018-05-29,4500,Combined Release
2018-05-30,4500,Combined Release
2018-05-31,4500,Combined Release
2018-06-01,4500,Combined Release
2018-06-02,4500,Combined Release
2018-06-03,4500,Combined Release
2018-06-04,4500,Combined Release
2018-06-05,4500,Combined Release
2018-06-06,4500,Combined Release
2018-06-07,6000,Combined Release
2018-06-08,8000,Combined Release
2018-06-09,10500,Combined Release
2018-06-10,11500,Combined Release
2018-06-11,13000,Combined Release
2018-06-12,14000,Combined Release
2018-06-13,14000,Combined Release
2018-06-14,16000,Combined Release
2018-06-15,17000,Combined Release
2018-06-16,18000,Combined Release
2018-06-17,20000,Combined Release
2018-06-18,20000,Combined Release
2018-06-19,20000,Combined Release
2018-06-20,20000,Combined Release
2018-06-21,20000,Combined Release
2018-06-22,20000,Combined Release
2018-06-23,20000,Combined Release
2018-06-24,20000,Combined Release
2018-06-25,20000,Combined Release
2018-06-26,20000,Combined Release
2018-06-27,20000,Combined Release
2018-06-28,19000,Combined Release
2018-06-29,17500,Combined Release
2018-06-30,13500,Combined Release
2018-07-01,10500,Combined Release
2018-07-02,8500,Combined Release
2018-07-03,5500,Combined Release
2018-07-04,4500,Combined Release
2018-07-05,4500,Combined Release
2018-07-06,4500,Combined Release
2018-07-07,4500,Combined Release
2018-07-08,4500,Combined Release
2018-07-09,4500,Combined Release
2018-07-10,4500,Combined Release
2018-07-11,4500,Combined Release
2018-07-12,4500,Combined Release
2018-07-13,4500,Combined Release
2018-07-14,4500,Combined Release
2018-07-15,4500,Combined Release
