x
06110000 to Big Spring Creek NWC Users.Depletion Shortage
06110000 to Big Spring Creek Natural Users.Depletion Shortage
Above Toston Tributary Irrigation.Depletion Shortage
BR Tribs Additional Demand for Calibration.Depletion Shortage
Badger Creek Irrigators.Depletion Shortage
Below Toston Tributary Irrigation.Depletion Shortage
Benton Lake Diversions.Depletion Shortage
Big Spring Irrigation.Depletion Shortage
Birch Ck Private Irrigation.Depletion Shortage
Blacktail and Other Tribs SW Only.Depletion Shortage
Blacktail and Other Tribs SW and GW.Depletion Shortage
Broadwater West side users.Depletion Shortage
CBC Tribs Irrigation.Depletion Shortage
CCWSC Barretts to Dillon.Depletion Shortage
CCWSC above Dillon.Depletion Shortage
CCWSC below Dillon.Depletion Shortage
City of Bozeman:Indoor Use.Depletion Shortage
City of Bozeman:Outdoor Use.Depletion Shortage
City of Great Falls:Indoor Use.Depletion Shortage
City of Great Falls:Outdoor Use.Depletion Shortage
City of Helena:Indoor Use.Depletion Shortage
City of Helena:Outdoor Use.Depletion Shortage
Co_op.Depletion Shortage
Dillon Canal.Depletion Shortage
Dupuyer and Tributary Irrigation.Depletion Shortage
East Bench SW Only.Depletion Shortage
East Bench SW and GW.Depletion Shortage
East Side Users.Depletion Shortage
Floweree Canal Irrigation.Depletion Shortage
Fort Shaw ID Irrigation.Depletion Shortage
Four Horns Irrigation North.Depletion Shortage
Four Horns Irrigation South.Depletion Shortage
Freezeout Area Irrigators.Depletion Shortage
GID East Users.Depletion Shortage
GID Middle Users.Depletion Shortage
GW Users above Logan.Depletion Shortage
Gallatin Rural GW Users:Indoor Use.Depletion Shortage
Gallatin Rural GW Users:Outdoor Use.Depletion Shortage
Grasshopper Irrigation.Depletion Shortage
Great Falls Irrigation.Depletion Shortage
Helena Valley Rural GW USers:Indoor Use.Depletion Shortage
Helena Valley Rural GW USers:Outdoor Use.Depletion Shortage
Horse Prairie Irrigation.Depletion Shortage
Irrigation Holter Tribs.Depletion Shortage
Irrigation Holter to Cascade.Depletion Shortage
Irrigation above Barretts.Depletion Shortage
Irrigation above Cascade Tribs.Depletion Shortage
Irrigation above RRLR.Depletion Shortage
Irrigation above Turnbull Drop.Depletion Shortage
Irrigation above Ulm Tribs.Depletion Shortage
Irrigation above Ulm.Depletion Shortage
Irrigation above Willow Creek.Depletion Shortage
Irrigation from Holter Reservoir.Depletion Shortage
Jefferson Irrigation below Parsons.Depletion Shortage
Judith_Headwaters Water Users.Depletion Shortage
Judith_Water Users Big Spring Creek.Depletion Shortage
Lombard Users.Depletion Shortage
Lower Decreed Only Users.Depletion Shortage
Lower Marias Irrigation.Depletion Shortage
Lower Red Rock Irrigation Access to Storage.Depletion Shortage
Lower Red Rock Irrigation no Access to Storage.Depletion Shortage
Lower Sun Irrigators.Depletion Shortage
Lower Supplemental Contract Users.Depletion Shortage
Lower Tributary Users.Depletion Shortage
Middle Cut Bank Irrigation.Depletion Shortage
Muddly Creek Irrigation.Depletion Shortage
Nilan Irrigation.Depletion Shortage
Nilan North Irrigation.Depletion Shortage
Other Broken O irrigation.Depletion Shortage
Outlaw.Depletion Shortage
PCCRC North Irrigation.Depletion Shortage
PCCRC South Irrigation.Depletion Shortage
RRR Tributary Irrigation.Depletion Shortage
Rocky Reef Irrigators.Depletion Shortage
Senior Irrigators SW Only.Depletion Shortage
Senior Irrigators SW and GW.Depletion Shortage
Senior Private Irrigation.Depletion Shortage
Smith Rebich Ditch.Depletion Shortage
Sun River Valley Ditch Irrigators.Depletion Shortage
Teton Returns to Marias ET.Depletion Shortage
Tiber Irrigators.Depletion Shortage
Tiber Tribs Irrigation.Depletion Shortage
Toston Canal Users.Depletion Shortage
Tribal Birch Ck Unit Irrigation.Depletion Shortage
Tribs above Mosby Users.Depletion Shortage
Tributary Irrigation above Lima.Depletion Shortage
Two Medicine Canal Water Users:Irrigation East.Depletion Shortage
Two Medicine Canal Water Users:Irrigation West.Depletion Shortage
Upper Cut Bank Creek Irrigation.Depletion Shortage
Upper Decreed Only Users.Depletion Shortage
Upper Elk Creek Irrigation.Depletion Shortage
Upper Marias Irrigation.Depletion Shortage
Upper Missouri Private Irrigators.Depletion Shortage
Upper PCCRC Irrigation.Depletion Shortage
Upper Ruby River Users.Depletion Shortage
Upper Supplemental Contract Users.Depletion Shortage
Upper TM Irrigation.Depletion Shortage
Upper Tributary Users.Depletion Shortage
Upstream Irrigation.Depletion Shortage
Warm Spring Creek Water Users.Depletion Shortage
Water Users Baker Ditch.Depletion Shortage
Water Users Big Hole_Dickey Bridge to Melrose:Butte Pump Station.Depletion Shortage
Water Users Big Hole_Dickey Bridge to Melrose:Natural Flow Users.Depletion Shortage
Water Users Big Hole_Glen to Mouth.Depletion Shortage
Water Users Big Hole_Headwaters.Depletion Shortage
Water Users Big Hole_Melrose to Glen.Depletion Shortage
Water Users Big Hole_Miners Lake Rd to Wisdom.Depletion Shortage
Water Users Big Hole_Tribs above Dickey Bridge.Depletion Shortage
Water Users Big Hole_Tribs above Glen.Depletion Shortage
Water Users Big Hole_Tribs above Melrose.Depletion Shortage
Water Users Big Hole_Tribs above Wisdom.Depletion Shortage
Water Users Big Hole_Wisdom to Dickey Bridge.Depletion Shortage
Water Users Boulder River.Depletion Shortage
Water Users Dearborn.Depletion Shortage
Water Users Farmers and W Gallatin Canal bl Hyalite Creek.Depletion Shortage
Water Users Farmers and W Gallatin Canal:S Cottonwood Creek to Hyalite Creek.Depletion Shortage
Water Users Gallatin_Axtell Bridge to I_90 Bridge.Depletion Shortage
Water Users Gallatin_Cottonwood Creek:NWC.Depletion Shortage
Water Users Gallatin_Cottonwood Creek:Natural.Depletion Shortage
Water Users Gallatin_E Gallatin Bridger Creek to Confluence.Depletion Shortage
Water Users Gallatin_E Gallatin Headwaters to Bridger Creek.Depletion Shortage
Water Users Gallatin_Gateway to Axtell Bridge.Depletion Shortage
Water Users Gallatin_Logan to Three Forks.Depletion Shortage
Water Users Gallatin_Sourdough Creek.Depletion Shortage
Water Users Great Falls to Fort Benton Local Inflow.Depletion Shortage
Water Users HVID Contract Only.Depletion Shortage
Water Users HVID Irrigation above Res.Depletion Shortage
Water Users HVID Res to Prickly Pear.Depletion Shortage
Water Users HVID Ten Mile NWC.Depletion Shortage
Water Users Jefferson_Norwegian Creek.Depletion Shortage
Water Users Jefferson_Tribs above Three Forks.Depletion Shortage
Water Users Jefferson_Willow Creek Headwaters.Depletion Shortage
Water Users Judith Tribs above Mouth.Depletion Shortage
Water Users Judith_Ackley Outlet.Depletion Shortage
Water Users Judith_Ackley Supply.Depletion Shortage
Water Users Lower Jefferson.Depletion Shortage
Water Users Lower Newlan Creek.Depletion Shortage
Water Users Lower North Fork Smith:Other Irrigation.Depletion Shortage
Water Users Lower North Fork Smith:South Side Canal.Depletion Shortage
Water Users Lower Whitetail.Depletion Shortage
Water Users Lower Willow Creek.Depletion Shortage
Water Users Madison_Ennis to Three Forks.Depletion Shortage
Water Users Madison_Headwaters.Depletion Shortage
Water Users Madison_Hebgen to Ennis.Depletion Shortage
Water Users Madison_Tribs above Ennis.Depletion Shortage
Water Users Madison_Tribs above Three Forks.Depletion Shortage
Water Users Missouri_Tribs above Hauser.Depletion Shortage
Water Users Musselshell_Barber and Careless Canal:Barber Canal Contract.Depletion Shortage
Water Users Musselshell_Barber and Careless Canal:Careless Canal Contract.Depletion Shortage
Water Users Musselshell_Box Elder Creek.Depletion Shortage
Water Users Musselshell_Careless Creek:Contract.Depletion Shortage
