"","Measure","Scenario","Period","Strategy","WYear","Value"
"68","FSID and Broken O Shortages","CT","2020s","Add30kAcFtIncPSCCap",1969,0
"69","FSID and Broken O Shortages","CT","2020s","Add30kAcFtIncPSCCap",1970,14.4594963
"70","FSID and Broken O Shortages","CT","2020s","Add30kAcFtIncPSCCap",1971,0
"71","FSID and Broken O Shortages","CT","2020s","Add30kAcFtIncPSCCap",1972,0
"72","FSID and Broken O Shortages","CT","2020s","Add30kAcFtIncPSCCap",1973,4703.9379479
"73","FSID and Broken O Shortages","CT","2020s","Add30kAcFtIncPSCCap",1974,565.0707683
"74","FSID and Broken O Shortages","CT","2020s","Add30kAcFtIncPSCCap",1975,47.3255942
"75","FSID and Broken O Shortages","CT","2020s","Add30kAcFtIncPSCCap",1976,0
"76","FSID and Broken O Shortages","CT","2020s","Add30kAcFtIncPSCCap",1977,6399.0907487
"77","FSID and Broken O Shortages","CT","2020s","Add30kAcFtIncPSCCap",1978,13.487596
"78","FSID and Broken O Shortages","CT","2020s","Add30kAcFtIncPSCCap",1979,0
"79","FSID and Broken O Shortages","CT","2020s","Add30kAcFtIncPSCCap",1980,965.8110471
"80","FSID and Broken O Shortages","CT","2020s","Add30kAcFtIncPSCCap",1981,216.2577341
"81","FSID and Broken O Shortages","CT","2020s","Add30kAcFtIncPSCCap",1982,0
"82","FSID and Broken O Shortages","CT","2020s","Add30kAcFtIncPSCCap",1983,1503.0537313
"83","FSID and Broken O Shortages","CT","2020s","Add30kAcFtIncPSCCap",1984,1248.197671
"84","FSID and Broken O Shortages","CT","2020s","Add30kAcFtIncPSCCap",1985,5199.2104069
"85","FSID and Broken O Shortages","CT","2020s","Add30kAcFtIncPSCCap",1986,45.4611324
"86","FSID and Broken O Shortages","CT","2020s","Add30kAcFtIncPSCCap",1987,439.7551337
"87","FSID and Broken O Shortages","CT","2020s","Add30kAcFtIncPSCCap",1988,2150.7360251
"88","FSID and Broken O Shortages","CT","2020s","Add30kAcFtIncPSCCap",1989,453.9567789
"89","FSID and Broken O Shortages","CT","2020s","Add30kAcFtIncPSCCap",1990,80.2313615
"90","FSID and Broken O Shortages","CT","2020s","Add30kAcFtIncPSCCap",1991,6.7041286
"91","FSID and Broken O Shortages","CT","2020s","Add30kAcFtIncPSCCap",1992,1945.6848965
"92","FSID and Broken O Shortages","CT","2020s","Add30kAcFtIncPSCCap",1993,83.1272277
"93","FSID and Broken O Shortages","CT","2020s","Add30kAcFtIncPSCCap",1994,1061.2159541
"94","FSID and Broken O Shortages","CT","2020s","Add30kAcFtIncPSCCap",1995,959.6226207
"95","FSID and Broken O Shortages","CT","2020s","Add30kAcFtIncPSCCap",1996,0
"96","FSID and Broken O Shortages","CT","2020s","Add30kAcFtIncPSCCap",1997,100.958623
