Directory,Strategy,StrategyLab,ScenarioSet
"CC All,GeneralMRM,Baseline",Baseline,Baseline,CC
"CC All,GeneralMRM,SunPishkunAdd30kAcFt",Add30kAcFt,GID New Res.,CC
"CC All,GeneralMRM,SunPishkunAdd30kAcFtIncPSCCap",Add30kAcFtIncPSCCap,GID New Res. and Inc. Pishkun Supply Canal Cap.,CC
