Measure,File,Slot
Lower Irrigators Deliveries,Diversion.rdf,
New Reservoir EOWY Storage,Storage.rdf,Musselshell_New Reservoir.Storage
New Reservoir Refill Percentage,Storage.rdf,Musselshell_New Reservoir.Storage
Lower Musselshell 7-Day Low Flows,ReachOutflow.rdf,Musselshell_Mosby to Fort Peck.Outflow
