Directory,Strategy,StrategyLab,ScenarioSet
"CC All,GeneralMRM,FlushingFlows",FlushingFlows,Ecological Flows,CC
"PaleoResampled,GeneralMRM,FlushingFlows",FlushingFlows,Ecological Flows,PaleoResampled
